t[s],CH1,CH2
2.506,-0.4,0.088
2.508,-0.4,0.088
2.51,-0.4,0.096
2.512,-0.4,0.096
2.514,-0.4,0.096
2.516,-0.4,0.104
2.518,-0.4,0.112
2.52,-0.4,0.112
2.522,-0.4,0.112
2.524,-0.4,0.12
2.526,-0.4,0.12
2.528,-0.4,0.128
2.53,-0.4,0.128
2.532,-0.4,0.144
2.534,-0.4,0.144
2.536,-0.4,0.144
2.538,-0.4,0.152
2.54,-0.4,0.16
2.542,-0.4,0.168
2.544,-0.4,0.184
2.546,-0.2,0.184
2.548,-0.2,0.192
2.55,-0.4,0.2
2.552,-0.4,0.208
2.554,-0.2,0.224
2.556,-0.4,0.232
2.558,-0.2,0.248
2.56,-0.2,0.256
2.562,-0.2,0.272
2.564,-0.2,0.28
2.566,-0.2,0.288
2.568,-0.2,0.296
2.57,0.0,0.304
2.572,-0.2,0.32
2.574,-0.2,0.328
2.576,-0.2,0.344
2.578,0.0,0.368
2.58,0.0,0.384
2.582,0.0,0.4
2.584,0.0,0.424
2.586,0.0,0.424
2.588,0.0,0.44
2.59,-0.2,0.456
2.592,0.0,0.48
2.594,0.0,0.504
2.596,0.0,0.52
2.598,0.0,0.536
2.6,0.0,0.56
2.602,0.2,0.576
2.604,0.0,0.592
2.606,0.0,0.616
2.608,0.0,0.632
2.61,0.2,0.656
2.612,0.0,0.68
2.614,0.0,0.696
2.616,0.0,0.728
2.618,0.0,0.744
2.62,0.2,0.768
2.622,0.2,0.776
2.624,0.2,0.808
2.626,0.2,0.848
2.628,0.2,0.88
2.63,0.2,0.904
2.632,0.2,0.92
2.634,0.2,0.944
2.636,0.4,0.96
2.638,0.2,0.976
2.64,0.2,0.984
2.642,0.2,1.008
2.644,0.2,1.048
2.646,0.4,1.072
2.648,0.4,1.104
2.65,0.4,1.12
2.652,0.4,1.136
2.654,0.4,1.16
2.656,0.4,1.184
2.658,0.4,1.2
2.66,0.4,1.224
2.662,0.2,1.232
2.664,0.4,1.256
2.666,0.4,1.264
2.668,0.4,1.272
2.67,0.4,1.28
2.672,0.6,1.296
2.674,0.4,1.312
2.676,0.4,1.336
2.678,0.6,1.344
2.68,0.6,1.352
2.682,0.6,1.352
2.684,0.6,1.368
2.686,0.4,1.376
2.688,0.6,1.376
2.69,0.6,1.384
2.692,0.6,1.384
2.694,0.6,1.384
2.696,0.6,1.392
2.698,0.8,1.392
2.7,0.6,1.384
2.702,0.6,1.384
2.704,0.6,1.384
2.706,0.6,1.384
2.708,0.8,1.376
2.71,0.6,1.368
2.712,0.8,1.36
2.714,0.8,1.352
2.716,0.8,1.352
2.718,0.8,1.336
2.72,0.8,1.328
2.722,0.8,1.32
2.724,0.8,1.304
2.726,0.8,1.296
2.728,0.8,1.272
2.73,0.8,1.256
2.732,0.8,1.248
2.734,0.8,1.24
2.736,0.8,1.216
2.738,0.8,1.208
2.74,0.8,1.2
2.742,0.8,1.184
2.744,0.8,1.16
2.746,0.8,1.144
2.748,1.0,1.136
2.75,1.0,1.12
