t[s],CH1,CH2
2.958,1.8,0.32
2.96,1.8,0.32
2.962,1.8,0.4
2.964,1.8,0.4
2.966,2.0,0.4
2.968,1.8,0.4
2.97,1.8,0.4
2.972,1.8,0.4
2.974,1.8,0.4
2.976,2.0,0.4
2.978,1.8,0.4
2.98,2.0,0.4
2.982,1.8,0.4
2.984,2.0,0.4
2.986,2.0,0.48
2.988,2.0,0.48
2.99,2.0,0.48
2.992,2.0,0.56
2.994,2.0,0.48
2.996,2.0,0.48
2.998,2.0,0.48
3.0,2.0,0.48
3.002,2.0,0.56
3.004,2.2,0.64
3.006,2.2,0.64
3.008,2.2,0.64
3.01,2.0,0.64
3.012,2.0,0.64
3.014,2.2,0.64
3.016,2.2,0.72
3.018,2.2,0.8
3.02,2.2,0.72
3.022,2.2,0.8
3.024,2.2,0.8
3.026,2.2,0.8
3.028,2.2,0.88
3.03,2.2,0.88
3.032,2.2,0.88
3.034,2.2,0.88
3.036,2.2,0.88
3.038,2.2,0.88
3.04,2.2,0.96
3.042,2.2,1.04
3.044,2.2,1.04
3.046,2.4,1.12
3.048,2.4,1.04
3.05,2.2,1.12
3.052,2.4,1.2
3.054,2.4,1.28
3.056,2.4,1.2
3.058,2.4,1.28
3.06,2.4,1.36
3.062,2.4,1.44
3.064,2.4,1.52
3.066,2.4,1.52
3.068,2.4,1.6
3.07,2.6,1.68
3.072,2.4,1.68
3.074,2.4,1.76
3.076,2.4,1.92
3.078,2.6,2.0
3.08,2.6,2.08
3.082,2.4,2.16
3.084,2.6,2.16
3.086,2.6,2.32
3.088,2.6,2.4
3.09,2.6,2.56
3.092,2.6,2.72
3.094,2.6,2.8
3.096,2.6,3.04
3.098,2.6,3.12
3.1,2.6,3.36
3.102,2.6,3.44
3.104,2.8,3.68
3.106,2.6,3.84
3.108,2.8,4.08
3.11,2.8,4.24
3.112,2.8,4.48
3.114,2.8,4.72
3.116,2.8,4.96
3.118,2.8,5.12
3.12,2.8,5.36
3.122,2.8,5.76
3.124,2.8,5.92
3.126,2.8,6.24
3.128,2.8,6.48
3.13,2.8,6.8
3.132,2.8,7.04
3.134,2.8,7.28
3.136,2.8,7.44
3.138,2.8,7.68
3.14,2.8,7.92
3.142,2.8,8.0
3.144,2.8,8.16
3.146,2.8,8.32
3.148,2.8,8.56
3.15,3.0,8.48
3.152,2.8,8.56
3.154,3.0,8.56
3.156,2.8,8.56
3.158,3.0,8.56
3.16,2.8,8.56
3.162,2.8,8.4
3.164,3.0,8.24
3.166,3.0,8.16
3.168,2.8,7.92
3.17,3.0,7.76
3.172,3.0,7.6
3.174,3.0,7.2
3.176,3.0,6.88
3.178,3.0,6.56
3.18,3.0,6.32
3.182,3.0,6.16
3.184,3.2,5.92
3.186,3.0,5.76
3.188,3.0,5.44
3.19,3.0,5.2
3.192,3.2,4.88
3.194,3.0,4.64
3.196,3.2,4.48
3.198,3.2,4.32
3.2,3.2,4.08
3.202,3.2,3.76
3.204,3.2,3.52
3.206,3.2,3.44
3.208,3.2,3.28
3.21,3.2,3.12
3.212,3.2,2.96
3.214,3.2,2.72
3.216,3.2,2.56
3.218,3.2,2.4
3.22,3.2,2.4
3.222,3.4,2.4
3.224,3.4,2.32
3.226,3.4,2.16
3.228,3.2,2.08
3.23,3.2,2.0
3.232,3.4,1.92
3.234,3.4,1.84
3.236,3.4,1.68
3.238,3.4,1.68
3.24,3.4,1.52
3.242,3.4,1.52
3.244,3.6,1.44
3.246,3.4,1.44
3.248,3.4,1.44
3.25,3.4,1.28
3.252,3.4,1.28
3.254,3.4,1.2
3.256,3.6,1.2
3.258,3.6,1.12
3.26,3.6,1.12
3.262,3.6,1.04
3.264,3.6,0.96
3.266,3.6,0.96
3.268,3.6,0.96
3.27,3.6,0.96
3.272,3.6,0.96
3.274,3.6,0.96
3.276,3.6,0.88
3.278,3.6,0.88
3.28,3.6,0.88
3.282,3.6,0.8
3.284,3.6,0.72
3.286,3.6,0.72
3.288,3.8,0.64
3.29,3.8,0.72
3.292,3.6,0.72
3.294,3.8,0.72
3.296,3.8,0.64
3.298,3.8,0.64
3.3,3.6,0.64
3.302,3.8,0.72
3.304,3.8,0.64
3.306,3.8,0.56
3.308,3.8,0.56
3.31,3.8,0.56
3.312,3.8,0.48
3.314,3.8,0.48
3.316,3.8,0.48
3.318,3.8,0.48
3.32,4.0,0.48
3.322,3.8,0.48
3.324,4.0,0.48
3.326,4.0,0.4
3.328,4.0,0.4
3.33,4.0,0.48
3.332,4.0,0.4
3.334,4.0,0.4
3.336,4.0,0.4
3.338,4.0,0.32
3.34,4.0,0.4
3.342,4.0,0.4
3.344,4.0,0.4
3.346,4.0,0.32
3.348,4.0,0.32
3.35,4.0,0.32
3.352,4.0,0.32
3.354,4.0,0.4
3.356,4.0,0.32
3.358,4.2,0.4
3.36,4.2,0.32
3.362,4.2,0.24
3.364,4.2,0.32
3.366,4.2,0.32
3.368,4.2,0.32
3.37,4.2,0.24
3.372,4.2,0.32
3.374,4.2,0.24
3.376,4.2,0.24
3.378,4.2,0.24
3.38,4.2,0.24
3.382,4.4,0.24
3.384,4.4,0.24
3.386,4.4,0.24
3.388,4.2,0.32
3.39,4.4,0.24
3.392,4.4,0.24
3.394,4.4,0.24
3.396,4.4,0.24
3.398,4.4,0.24
3.4,4.4,0.24
3.402,4.4,0.24
3.404,4.4,0.24
3.406,4.4,0.16
3.408,4.4,0.24
3.41,4.4,0.24
3.412,4.4,0.24
3.414,4.4,0.24
3.416,4.4,0.16
3.418,4.4,0.16
3.42,4.4,0.16
3.422,4.4,0.24
3.424,4.6,0.16
3.426,4.4,0.16
3.428,4.4,0.24
3.43,4.6,0.16
3.432,4.6,0.16
3.434,4.6,0.16
3.436,4.6,0.24
3.438,4.6,0.16
3.44,4.6,0.16
3.442,4.6,0.16
3.444,4.6,0.16
3.446,4.6,0.16
3.448,4.6,0.16
3.45,4.8,0.16
3.452,4.6,0.16
3.454,4.6,0.16
3.456,4.6,0.16
3.458,4.8,0.16
3.46,4.6,0.16
3.462,4.8,0.16
3.464,4.8,0.16
3.466,4.8,0.16
3.468,4.8,0.16
3.47,4.8,0.16
3.472,4.8,0.16
3.474,4.8,0.16
3.476,4.8,0.08
3.478,4.8,0.08
3.48,4.8,0.08
3.482,4.8,0.08
3.484,4.8,0.16
3.486,4.8,0.08
3.488,4.8,0.08
3.49,4.8,0.08
3.492,4.8,0.08
3.494,5.0,0.08
3.496,5.0,0.08
3.498,5.0,0.16
3.5,5.0,0.16
3.502,5.0,0.16
3.504,5.0,0.08
3.506,5.0,0.08
3.508,5.0,0.08
3.51,5.0,0.08
3.512,5.0,0.08
3.514,5.0,0.08
3.516,5.0,0.08
3.518,5.0,0.08
3.52,5.2,0.08
3.522,5.0,0.08
3.524,5.2,0.08
3.526,5.2,0.08
3.528,5.2,0.16
3.53,5.2,0.08
3.532,5.2,0.08
3.534,5.2,0.08
3.536,5.2,0.08
3.538,5.2,0.08
3.54,5.2,0.08
3.542,5.2,0.08
3.544,5.2,0.08
3.546,5.2,0.08
3.548,5.2,0.08
3.55,5.2,0.08
3.552,5.2,0.08
3.554,5.2,0.08
3.556,5.2,0.08
3.558,5.4,0.08
3.56,5.2,0.08
3.562,5.2,0.08
3.564,5.4,0.08
3.566,5.2,0.08
3.568,5.4,0.08
3.57,5.4,0.08
3.572,5.4,0.08
3.574,5.4,0.08
3.576,5.4,0.08
3.578,5.4,0.08
3.58,5.4,0.08
3.582,5.4,0.08
3.584,5.6,0.08
3.586,5.4,0.08
3.588,5.4,0.08
3.59,5.6,0.08
3.592,5.6,0.08
3.594,5.6,0.0
3.596,5.6,0.08
3.598,5.4,0.08
3.6,5.6,0.08
3.602,5.6,0.08
3.604,5.6,0.08
3.606,5.6,0.08
3.608,5.6,0.08
3.61,5.6,0.08
3.612,5.6,0.08
3.614,5.6,0.08
3.616,5.6,0.08
3.618,5.6,0.08
3.62,5.6,0.08
3.622,5.6,0.08
3.624,5.6,0.08
3.626,5.6,0.08
3.628,5.8,0.08
3.63,5.6,0.08
3.632,5.8,0.08
3.634,5.8,0.0
3.636,5.8,0.0
3.638,5.8,0.08
3.64,5.8,0.08
3.642,5.8,0.0
3.644,5.8,0.0
3.646,5.8,0.08
3.648,5.8,0.0
3.65,5.8,0.08
3.652,5.8,0.08
3.654,5.8,0.08
3.656,5.8,0.08
3.658,6.0,0.08
3.66,6.0,0.08
3.662,6.0,0.08
3.664,5.8,0.0
3.666,6.0,0.0
3.668,6.0,0.0
3.67,6.0,0.08
3.672,6.0,0.08
3.674,6.0,0.0
3.676,6.0,0.0
3.678,6.0,0.08
3.68,6.0,0.0
3.682,6.0,0.0
3.684,6.0,0.0
3.686,6.0,0.0
3.688,6.0,0.0
3.69,6.0,0.0
3.692,6.0,0.0
3.694,6.2,0.0
3.696,6.0,0.08
3.698,6.0,0.0
3.7,6.2,0.0
3.702,6.0,0.08
3.704,6.2,0.08
3.706,6.2,0.08
3.708,6.2,0.0
3.71,6.2,0.08
3.712,6.2,0.08
3.714,6.2,0.08
3.716,6.2,0.08
3.718,6.4,0.08
3.72,6.2,0.08
3.722,6.2,0.0
3.724,6.2,0.08
3.726,6.2,0.0
3.728,6.2,0.0
