t[s],CH1,CH2
1.21,1.0,0.024
1.212,1.0,0.024
1.214,1.2,0.024
1.216,1.0,0.024
1.218,1.2,0.024
1.22,1.0,0.024
1.222,1.2,0.024
1.224,1.2,0.024
1.226,1.2,0.024
1.228,1.2,0.024
1.23,1.2,0.024
1.232,1.2,0.024
1.234,1.2,0.024
1.236,1.2,0.016
1.238,1.2,0.024
1.24,1.2,0.024
1.242,1.2,0.024
1.244,1.2,0.024
1.246,1.2,0.032
1.248,1.2,0.024
1.25,1.4,0.024
1.252,1.2,0.024
1.254,1.4,0.024
1.256,1.4,0.032
1.258,1.4,0.024
1.26,1.4,0.024
1.262,1.4,0.024
1.264,1.4,0.024
1.266,1.4,0.024
1.268,1.4,0.024
1.27,1.4,0.024
1.272,1.4,0.024
1.274,1.4,0.024
1.276,1.4,0.024
1.278,1.4,0.024
1.28,1.4,0.024
1.282,1.6,0.024
1.284,1.6,0.024
1.286,1.6,0.024
1.288,1.4,0.024
1.29,1.6,0.024
1.292,1.6,0.024
1.294,1.6,0.024
1.296,1.6,0.016
1.298,1.6,0.024
1.3,1.6,0.016
1.302,1.6,0.024
1.304,1.8,0.024
1.306,1.4,0.024
1.308,1.6,0.024
1.31,1.6,0.016
1.312,1.6,0.024
1.314,1.6,0.024
1.316,1.8,0.024
1.318,1.8,0.024
1.32,1.6,0.024
1.322,1.8,0.024
1.324,1.8,0.024
1.326,1.8,0.024
1.328,1.8,0.024
1.33,1.8,0.024
1.332,1.6,0.024
1.334,1.8,0.024
1.336,1.8,0.016
1.338,2.0,0.024
1.34,1.8,0.024
1.342,1.8,0.024
1.344,1.8,0.024
1.346,1.8,0.024
1.348,1.8,0.024
1.35,1.8,0.016
1.352,2.0,0.016
1.354,1.8,0.024
1.356,2.0,0.024
1.358,2.0,0.024
1.36,2.0,0.024
1.362,2.0,0.024
1.364,2.0,0.016
1.366,2.0,0.024
1.368,2.0,0.016
1.37,2.0,0.016
1.372,2.0,0.024
1.374,2.0,0.016
1.376,2.0,0.016
1.378,2.2,0.024
1.38,2.0,0.024
1.382,2.0,0.024
1.384,2.0,0.024
1.386,2.0,0.024
1.388,2.0,0.024
1.39,2.2,0.024
1.392,2.0,0.024
1.394,2.2,0.024
1.396,2.2,0.016
1.398,2.2,0.016
1.4,2.2,0.024
1.402,2.2,0.024
1.404,2.4,0.024
1.406,2.2,0.024
1.408,2.2,0.024
1.41,2.2,0.016
1.412,2.2,0.024
1.414,2.2,0.024
1.416,2.2,0.024
1.418,2.4,0.016
1.42,2.4,0.024
1.422,2.2,0.024
1.424,2.4,0.024
1.426,2.4,0.024
1.428,2.4,0.024
1.43,2.4,0.016
1.432,2.4,0.024
1.434,2.4,0.016
1.436,2.4,0.024
